epoch,step,tr_TV_reward,tr_acc_ranker,tr_loss_ranker,tr_loss_reward,val_TV_reward,val_acc_ranker,val_loss_ranker,val_loss_reward
11,20843,,,,,11.325581758428578,0.5962905287742615,0.4287777543067932,0.6340783844212836
12,20999,11.097244665191479,0.5760282278060913,0.4416414499282837,0.6293115515551729,,,,
12,21499,11.396139968647235,0.5667968988418579,0.47785472869873047,0.6432643481470046,,,,
12,21999,13.290654504319392,0.6431822776794434,0.38010174036026,0.6527853195199744,,,,
12,22499,13.11832516941419,0.6475495100021362,0.38193804025650024,0.6523976967253107,,,,
12,22580,,,,,14.086130765261286,0.5720029473304749,0.4667411148548126,0.66079745846328
13,22999,11.8715958443477,0.6656600832939148,0.36066651344299316,0.6300204926962218,,,,
13,23499,12.352299983223197,0.6520991325378418,0.37555617094039917,0.6371097139830384,,,,
13,23999,11.60659993326389,0.6602975130081177,0.3685551881790161,0.6366862921894004,,,,
13,24317,,,,,16.25849925964384,0.601943850517273,0.5024601221084595,0.6867283977874014
14,24499,12.201825823424908,0.6531731486320496,0.3732529282569885,0.6491583669413435,,,,
14,24999,12.43479349877007,0.6597632169723511,0.3659815788269043,0.6479027451410794,,,,
14,25499,12.488237288830664,0.6570285558700562,0.37109071016311646,0.6433996681366938,,,,
14,25999,11.672180751100107,0.6124788522720337,0.4147806465625763,0.6305208916325995,,,,
14,26054,,,,,13.686682358561066,0.5537105202674866,0.48075467348098755,0.656445650711431
15,26499,12.284099209574087,0.6489353179931641,0.37643635272979736,0.6512052440498598,,,,
15,26999,12.66655173495651,0.666954755783081,0.3593795597553253,0.6493257456512324,,,,
15,27499,11.878972823806205,0.6526749730110168,0.3724645674228668,0.632794621337203,,,,
15,27791,,,,,14.696797677869593,0.6080625057220459,0.4120464026927948,0.6708967436635017
