epoch,step,tr_TV_reward,tr_acc_ranker,tr_loss_cls,tr_loss_ranker,tr_loss_reward,val_TV_reward,val_acc_ndcg_ranker,val_acc_prob_click,val_loss_ranker,val_loss_reward
5,8999,11.651074054592293,0.6422572731971741,0.033014655113220215,0.4387561082839966,0.6345731378479413,,,,,
5,9499,11.439339987243976,0.6484631299972534,0.03311203420162201,0.43767377734184265,0.6347445940627976,,,,,
5,9999,11.670831966164712,0.6558036804199219,0.0327627956867218,0.42641037702560425,0.6384227656740035,,,,,
5,10421,,,,,,11.660396255149136,0.6580326557159424,0.3953769199648994,0.45225945115089417,0.6391624426356268
6,10499,11.463180466859214,0.661218523979187,0.03353951498866081,0.4297664761543274,0.6325054214141674,,,,,
6,10999,11.990570133009637,0.6473026275634766,0.03340629115700722,0.44570523500442505,0.6299106380620815,,,,,
6,11499,11.972310066945457,0.671876072883606,0.034450579434633255,0.4228033125400543,0.6377138895442576,,,,,
6,11999,11.402291887827644,0.6452921628952026,0.033227209001779556,0.4399491548538208,0.634851801616032,,,,,
6,12158,,,,,,11.717927966025568,0.6613337993621826,0.3975377043948018,0.4397614896297455,0.6393696538842331
7,12499,10.824833556768166,0.6370398998260498,0.032232701778411865,0.4505450129508972,0.6277282566128219,,,,,
7,12999,11.290815720570414,0.6586469411849976,0.0320148691534996,0.43146127462387085,0.6311186488257986,,,,,
7,13499,11.628335883818282,0.6420196890830994,0.032725535333156586,0.43178457021713257,0.634029530094554,,,,,
7,13895,,,,,,11.74707718513143,0.6458881497383118,0.3949178802777863,0.4501163363456726,0.6393836903294281
8,13999,11.296247268731495,0.6459159255027771,0.03196140378713608,0.4387698471546173,0.6361523019427668,,,,,
8,14499,11.983971334710551,0.6628612279891968,0.03237668052315712,0.42559173703193665,0.651087040210128,,,,,
8,14999,11.84763507985609,0.6442948579788208,0.03305329382419586,0.42560186982154846,0.6485299838708147,,,,,
8,15499,11.314960850182683,0.6514160633087158,0.032241977751255035,0.4339507222175598,0.6345910809805293,,,,,
8,15632,,,,,,11.705542949171187,0.6608525514602661,0.39818467649701184,0.4346871078014374,0.6399152161003078
9,15999,11.116232829682044,0.6364389657974243,0.03226394206285477,0.440227210521698,0.6393656435742019,,,,,
9,16499,12.110715396592337,0.664873480796814,0.03150743246078491,0.4271615147590637,0.6418131593993603,,,,,
9,16999,10.958212282774609,0.6681080460548401,0.032337434589862823,0.4230720102787018,0.6398410225273824,,,,,
9,17369,,,,,,11.559212232307328,0.6564037203788757,0.3960335664424546,0.4384693205356598,0.6378175519959213
10,17499,11.763190778151305,0.6707347631454468,0.033120714128017426,0.3917903006076813,0.6389006761432581,,,,,
10,17999,11.22124271372676,0.6548812389373779,0.03255893290042877,0.42412441968917847,0.6357565765852229,,,,,
10,18499,11.665630407431916,0.6413233876228333,0.03183813393115997,0.4311932921409607,0.638981646868699,,,,,
10,18999,11.900822543612572,0.6631550788879395,0.03312583267688751,0.4301598072052002,0.6478218169573717,,,,,
10,19106,,,,,,11.605286863671132,0.6579050421714783,0.3932518336773076,0.4412001371383667,0.6382953208681509
11,19499,11.363796161725599,0.6468733549118042,0.03174711763858795,0.43477553129196167,0.6366443169522309,,,,,
11,19999,11.480597834062468,0.6564364433288574,0.03427230566740036,0.4248214662075043,0.6384456172382023,,,,,
11,20499,12.05830595756759,0.6328096389770508,0.030939672142267227,0.4451060891151428,0.648688057769374,,,,,
11,20843,,,,,,11.515428469690605,0.6700640320777893,0.395518195129676,0.43825390934944153,0.6379198730572381
12,20999,11.537978969563504,0.6462306380271912,0.03334222733974457,0.43338897824287415,0.6374388010116079,,,,,
12,21499,11.589630853744904,0.6244482398033142,0.031055547297000885,0.43921059370040894,0.6493624264068655,,,,,
12,21999,12.139097904957858,0.6564154624938965,0.030968597158789635,0.4367244243621826,0.6416549651680683,,,,,
12,22499,11.773523656354474,0.6408052444458008,0.03303392976522446,0.4239059090614319,0.6394255666907371,,,,,
